epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7506,1.16994,3.27927,1.53544,0.01934,0.99541,0.37848,0.24569,0.81255,3.02082,1.38683,0.00034296,0.00034296,0.00034296
2,19.9052,1.04929,2.37217,1.44638,0.57723,0.09221,0.30344,0.14088,1.2514,2.82493,1.93045,0.000696744,0.000696744,0.000696744
3,27.5724,1.13118,2.07069,1.48135,0.36164,0.14683,0.0208,0.00505,2.83245,14.3328,6.57667,0.00104699,0.00104699,0.00104699
4,34.9896,1.15229,1.89191,1.48573,0.0942,0.09246,0.02872,0.00833,2.8526,4.02291,3.63538,0.0013937,0.0013937,0.0013937
5,42.7302,1.16855,1.70315,1.48234,0.07292,0.15779,0.02698,0.00692,3.02178,10.2301,5.02803,0.00140071,0.00140071,0.00140071
6,50.0468,1.15973,1.60169,1.47606,0.39472,0.47498,0.29895,0.14338,1.55914,4.76561,2.61409,0.00139363,0.00139363,0.00139363
7,57.6983,1.13613,1.43314,1.45595,0.49506,0.69403,0.50767,0.3223,1.10198,3.38554,1.73554,0.00138656,0.00138656,0.00138656
8,65.1532,1.12003,1.31812,1.45341,0.41576,0.76089,0.58634,0.30624,1.3819,1.92122,2.13654,0.00137949,0.00137949,0.00137949
9,72.3569,1.11984,1.29836,1.44118,0.72703,0.62662,0.70471,0.48247,0.98851,1.40729,1.60944,0.00137241,0.00137241,0.00137241
10,79.7241,1.07771,1.27715,1.41656,0.10462,0.10401,0.05101,0.01044,3.66079,4.23075,6.64071,0.00136534,0.00136534,0.00136534
11,86.8454,1.04882,1.2164,1.38637,0.38275,0.61504,0.40545,0.20018,1.5846,2.56192,2.24336,0.00135826,0.00135826,0.00135826
12,94.21,1.0414,1.18902,1.38724,0.46775,0.66943,0.58105,0.41895,0.86756,2.68305,1.46534,0.00135119,0.00135119,0.00135119
13,101.373,1.0197,1.13711,1.38029,0.62955,0.822,0.76425,0.46875,1.17983,1.05842,1.78778,0.00134412,0.00134412,0.00134412
14,108.914,0.99903,1.08285,1.35706,0.48082,0.64121,0.53271,0.30183,1.24579,1.66087,1.68985,0.00133704,0.00133704,0.00133704
15,116.281,1.00657,1.10149,1.36888,0.50229,0.83014,0.71155,0.45634,1.13287,1.29647,1.66053,0.00132997,0.00132997,0.00132997
16,123.46,0.99041,1.035,1.35671,0.52972,0.73779,0.6856,0.49319,0.88872,1.45316,1.41397,0.0013229,0.0013229,0.0013229
17,130.882,0.99925,1.02921,1.34997,0.37559,0.74423,0.53702,0.39222,0.84567,1.79903,1.40852,0.00131582,0.00131582,0.00131582
18,138.103,0.98632,1.04099,1.35407,0.75734,0.79825,0.8515,0.61865,0.89297,0.92051,1.43126,0.00130875,0.00130875,0.00130875
19,145.583,0.94803,0.95719,1.32428,0.74048,0.8518,0.85931,0.6535,0.81499,0.86253,1.36531,0.00130168,0.00130168,0.00130168
20,152.928,0.94917,0.98736,1.32681,0.717,0.76359,0.76999,0.57632,0.90037,1.27982,1.40059,0.0012946,0.0012946,0.0012946
21,160.022,0.9511,0.94941,1.32525,0.74171,0.85228,0.85619,0.63438,0.85181,0.85193,1.39748,0.00128753,0.00128753,0.00128753
22,167.38,0.95102,0.97014,1.33126,0.61021,0.77984,0.77478,0.51791,1.07322,1.22246,1.57683,0.00128046,0.00128046,0.00128046
23,174.542,0.92738,0.92754,1.30632,0.64459,0.79313,0.79458,0.51488,1.10111,1.22784,1.61271,0.00127338,0.00127338,0.00127338
24,182.008,0.92834,0.90641,1.32215,0.74451,0.83892,0.86215,0.6375,0.8068,0.79005,1.3347,0.00126631,0.00126631,0.00126631
25,189.106,0.95263,0.95818,1.32877,0.58486,0.8673,0.79067,0.51768,1.10149,1.17596,1.64974,0.00125923,0.00125923,0.00125923
26,196.367,0.94857,0.90794,1.31853,0.69793,0.81615,0.81414,0.61805,0.84864,0.90372,1.36188,0.00125216,0.00125216,0.00125216
27,203.877,0.92296,0.89507,1.30583,0.69045,0.75479,0.79987,0.59197,0.90502,1.03205,1.41674,0.00124509,0.00124509,0.00124509
28,211.05,0.91506,0.87045,1.29436,0.66319,0.86383,0.82015,0.62896,0.81109,0.94693,1.36097,0.00123801,0.00123801,0.00123801
29,218.48,0.91838,0.88622,1.29488,0.64158,0.89021,0.80168,0.62115,0.75353,0.94388,1.31262,0.00123094,0.00123094,0.00123094
30,225.63,0.89112,0.87835,1.28863,0.80077,0.79873,0.86956,0.67092,0.761,0.73032,1.30536,0.00122387,0.00122387,0.00122387
31,232.979,0.87897,0.855,1.27746,0.7624,0.90068,0.89235,0.6876,0.75834,0.69072,1.31262,0.00121679,0.00121679,0.00121679
32,240.228,0.88362,0.83739,1.29398,0.63012,0.76557,0.72404,0.53527,0.86192,1.01124,1.38838,0.00120972,0.00120972,0.00120972
33,247.502,0.89694,0.85613,1.29366,0.83851,0.87369,0.90669,0.70765,0.77625,0.67927,1.3152,0.00120265,0.00120265,0.00120265
34,255.104,0.89959,0.8232,1.28556,0.70459,0.79396,0.7989,0.64125,0.70939,1.00946,1.24265,0.00119557,0.00119557,0.00119557
35,262.234,0.88974,0.82795,1.27454,0.73349,0.89447,0.91617,0.70921,0.76539,0.7138,1.31593,0.0011885,0.0011885,0.0011885
36,269.506,0.87697,0.80157,1.28227,0.62843,0.70408,0.69655,0.42022,1.20141,1.22057,1.74113,0.00118143,0.00118143,0.00118143
37,276.62,0.88093,0.82368,1.27774,0.90136,0.9061,0.95322,0.78482,0.65844,0.51596,1.19508,0.00117435,0.00117435,0.00117435
38,283.795,0.85233,0.81405,1.25587,0.84132,0.89731,0.93138,0.73502,0.711,0.59949,1.27592,0.00116728,0.00116728,0.00116728
39,291.053,0.86672,0.79486,1.26314,0.84703,0.86991,0.91043,0.72341,0.72101,0.65713,1.24941,0.00116021,0.00116021,0.00116021
40,298.389,0.85906,0.79601,1.26114,0.84474,0.8649,0.89459,0.68404,0.79001,0.69452,1.3387,0.00115313,0.00115313,0.00115313
41,305.731,0.89164,0.8075,1.27733,0.72879,0.88912,0.91384,0.7452,0.69961,0.79204,1.22573,0.00114606,0.00114606,0.00114606
42,312.864,0.87116,0.79399,1.28718,0.91793,0.87231,0.9478,0.76698,0.71418,0.5569,1.24274,0.00113898,0.00113898,0.00113898
43,320.125,0.83301,0.78206,1.24762,0.84571,0.84567,0.91818,0.74688,0.68404,0.64098,1.23846,0.00113191,0.00113191,0.00113191
44,327.232,0.84912,0.78392,1.26831,0.75316,0.88288,0.88922,0.71683,0.70891,0.80008,1.258,0.00112484,0.00112484,0.00112484
45,334.558,0.8535,0.77026,1.26246,0.66762,0.84742,0.80788,0.60465,0.81915,0.96281,1.3749,0.00111776,0.00111776,0.00111776
46,341.854,0.85607,0.75508,1.26144,0.69435,0.83586,0.8344,0.6583,0.70072,0.94235,1.25303,0.00111069,0.00111069,0.00111069
47,349.252,0.84144,0.76738,1.25521,0.65564,0.80999,0.78283,0.63294,0.68831,1.138,1.24282,0.00110362,0.00110362,0.00110362
48,356.567,0.85353,0.78852,1.26219,0.75006,0.90792,0.88761,0.72095,0.69873,0.72082,1.23282,0.00109654,0.00109654,0.00109654
49,363.893,0.8245,0.7541,1.24587,0.77586,0.84301,0.86543,0.58949,0.99614,0.75127,1.5111,0.00108947,0.00108947,0.00108947
50,371.122,0.83322,0.75835,1.25093,0.75152,0.83986,0.85161,0.70138,0.72424,1.01498,1.22659,0.0010824,0.0010824,0.0010824
51,378.402,0.83801,0.74146,1.24619,0.69296,0.82329,0.80305,0.61716,0.80597,0.87981,1.32469,0.00107532,0.00107532,0.00107532
52,385.583,0.83899,0.79124,1.25723,0.78361,0.87762,0.9083,0.72797,0.68631,0.69764,1.22037,0.00106825,0.00106825,0.00106825
53,392.971,0.82443,0.72823,1.25144,0.87255,0.86004,0.92532,0.76312,0.67474,0.58525,1.21923,0.00106118,0.00106118,0.00106118
54,400.456,0.83128,0.73268,1.24774,0.86501,0.90727,0.94558,0.7517,0.70301,0.5584,1.24545,0.0010541,0.0010541,0.0010541
55,407.658,0.83044,0.69951,1.24891,0.81699,0.86301,0.91439,0.72283,0.75361,0.69026,1.27091,0.00104703,0.00104703,0.00104703
56,414.941,0.82569,0.71381,1.24147,0.71333,0.85271,0.80471,0.6313,0.7906,0.93106,1.30518,0.00103995,0.00103995,0.00103995
