epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.6998,3.06653,4.5458,4.28013,0.00113,0.35357,0.00152,0.00056,2.64775,3.68334,4.15661,0.0024,0.0024,0.0024
2,53.117,3.06101,4.38902,4.21245,0.00116,0.36054,0.00121,0.00042,2.64492,3.6843,4.15146,0.0048903,0.0048903,0.0048903
3,65.3982,3.03061,4.19354,4.08225,0.00116,0.36484,0.00142,0.0005,2.64521,3.73148,4.12958,0.0073707,0.0073707,0.0073707
4,77.631,2.98958,3.65758,3.69547,0.00066,0.21876,0.00046,0.00019,2.56565,7.43535,3.74084,0.00984119,0.00984119,0.00984119
5,89.9001,2.82277,3.09862,3.37448,0.01434,0.35875,0.01094,0.00253,2.81369,33.9084,4.93062,0.0099208,0.0099208,0.0099208
6,101.99,2.48009,2.70033,3.04937,0.03253,0.12803,0.01859,0.0051,2.62418,17.0085,5.60035,0.009901,0.009901,0.009901
7,114.207,2.2397,2.46806,2.84571,0.01311,0.30784,0.01036,0.00305,2.42121,43.8848,3.51125,0.0098812,0.0098812,0.0098812
8,126.291,2.03594,2.26806,2.64905,0.09757,0.22666,0.07574,0.02024,2.64386,5.25269,3.72532,0.0098614,0.0098614,0.0098614
9,138.706,1.86492,2.15149,2.46705,0.27256,0.40192,0.23983,0.06514,2.49761,3.19448,3.54215,0.0098416,0.0098416,0.0098416
10,150.829,1.7844,2.07034,2.38524,0.31678,0.47281,0.29584,0.12293,1.96883,2.73646,2.73376,0.0098218,0.0098218,0.0098218
11,162.893,1.69314,1.96306,2.28577,0.25406,0.52953,0.24654,0.09068,2.22816,2.05034,3.25292,0.009802,0.009802,0.009802
12,175.093,1.61727,1.93288,2.1794,0.23729,0.4872,0.21263,0.06884,2.20318,3.13779,3.61732,0.0097822,0.0097822,0.0097822
13,187.241,1.54213,1.86137,2.13298,0.34464,0.79131,0.43216,0.24326,1.48366,1.93217,2.21441,0.0097624,0.0097624,0.0097624
14,199.429,1.50319,1.79587,2.08977,0.37567,0.51566,0.35588,0.14982,1.85859,1.8879,2.95296,0.0097426,0.0097426,0.0097426
15,211.672,1.46379,1.76574,2.05102,0.38479,0.52883,0.38094,0.16739,2.01932,3.00175,3.36463,0.0097228,0.0097228,0.0097228
